date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:54	98303/98303	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:20%20GMT	https://sites.google.com/view/f17er/v3x/v3x-3	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/v3x/v3x-3.html	(from https://sites.google.com/view/f17er)
00:49:55	98446/98446	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:21%20GMT	https://sites.google.com/view/f17er/v3x/v3x-4	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/v3x/v3x-4.html	(from https://sites.google.com/view/f17er)
00:49:55	98447/98447	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:21%20GMT	https://sites.google.com/view/f17er/v3x/v3x-5	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/v3x/v3x-5.html	(from https://sites.google.com/view/f17er)
00:49:55	98445/98445	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:21%20GMT	https://sites.google.com/view/f17er/v3x/v3x-6	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/v3x/v3x-6.html	(from https://sites.google.com/view/f17er)
00:49:56	98383/98383	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:22%20GMT	https://sites.google.com/view/f17er/angry-81rd5	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/angry-81rd5.html	(from https://sites.google.com/view/f17er)
00:49:56	99008/99008	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:22%20GMT	https://sites.google.com/view/f17er/8rawl-5tar5	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8rawl-5tar5.html	(from https://sites.google.com/view/f17er)
00:49:57	98325/98325	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:23%20GMT	https://sites.google.com/view/f17er/8l00n5-td	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8l00n5-td.html	(from https://sites.google.com/view/f17er)
00:49:58	98374/98374	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:23%20GMT	https://sites.google.com/view/f17er/8l00n5-td-2	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8l00n5-td-2.html	(from https://sites.google.com/view/f17er)
00:49:59	98445/98445	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:24%20GMT	https://sites.google.com/view/f17er/8l0x0r5	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8l0x0r5.html	(from https://sites.google.com/view/f17er)
00:50:00	98387/98387	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:25%20GMT	https://sites.google.com/view/f17er/80ttl3-fl1p	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/80ttl3-fl1p.html	(from https://sites.google.com/view/f17er)
